id,household_id,bottles_charged,timestamp,point_id
1,57,3,2025-02-16 03:45:29.849879,4
2,130,5,2025-02-16 03:45:29.852372,15
3,110,1,2025-02-16 03:45:29.853145,14
4,199,2,2025-02-16 03:45:29.853901,8
5,12,2,2025-02-16 03:45:29.854731,14
6,38,4,2025-02-16 03:45:29.856307,10
7,161,2,2025-02-16 03:45:29.857606,3
8,132,4,2025-02-16 03:45:29.858505,11
9,186,4,2025-02-16 03:45:29.85924,11
10,13,3,2025-02-16 03:45:29.859863,8
11,150,5,2025-02-16 03:45:29.860559,5
12,123,2,2025-02-16 03:45:29.861257,8
13,163,2,2025-02-16 03:45:29.862064,8
14,199,3,2025-02-16 03:45:29.862759,10
15,40,5,2025-02-16 03:45:29.863515,7
16,71,2,2025-02-16 03:45:29.86458,12
17,87,5,2025-02-16 03:45:29.865896,3
18,132,5,2025-02-16 03:45:29.867022,7
19,184,2,2025-02-16 03:45:29.867863,14
20,50,1,2025-02-16 03:45:29.868686,8
21,113,3,2025-02-16 03:45:29.869466,5
22,141,1,2025-02-16 03:45:29.870346,11
23,162,3,2025-02-16 03:45:29.871087,10
24,80,5,2025-02-16 03:45:29.871755,14
25,92,3,2025-02-16 03:45:29.872663,12
26,195,2,2025-02-16 03:45:29.873536,11
27,65,2,2025-02-16 03:45:29.874176,14
28,19,1,2025-02-16 03:45:29.874714,9
29,100,1,2025-02-16 03:45:29.875391,12
30,159,3,2025-02-16 03:45:29.876012,8
31,103,1,2025-02-16 03:45:29.876667,3
32,170,2,2025-02-16 03:45:29.877891,1
33,66,3,2025-02-16 03:45:29.87864,12
34,181,4,2025-02-16 03:45:29.879279,15
35,88,1,2025-02-16 03:45:29.879848,13
36,197,4,2025-02-16 03:45:29.880385,1
37,80,1,2025-02-16 03:45:29.881463,7
38,2,4,2025-02-16 03:45:29.882822,4
39,191,1,2025-02-16 03:45:29.884292,14
40,174,5,2025-02-16 03:45:29.885036,4
41,22,4,2025-02-16 03:45:29.885693,9
42,37,2,2025-02-16 03:45:29.886252,1
43,139,3,2025-02-16 03:45:29.886917,2
44,49,3,2025-02-16 03:45:29.888651,15
45,63,5,2025-02-16 03:45:29.889608,7
46,46,5,2025-02-16 03:45:29.890539,12
47,151,5,2025-02-16 03:45:29.891427,8
48,63,5,2025-02-16 03:45:29.892251,6
49,53,3,2025-02-16 03:45:29.893296,14
50,165,4,2025-02-16 03:45:29.893926,12
51,75,5,2025-02-16 03:45:29.894558,11
52,141,4,2025-02-16 03:45:29.895231,1
53,44,5,2025-02-16 03:45:29.895829,13
54,78,1,2025-02-16 03:45:29.89643,1
55,90,2,2025-02-16 03:45:29.897125,15
56,3,3,2025-02-16 03:45:29.898192,10
57,32,1,2025-02-16 03:45:29.900326,14
58,122,5,2025-02-16 03:45:29.90201,3
59,126,1,2025-02-16 03:45:29.902847,1
60,44,1,2025-02-16 03:45:29.90363,9
61,49,1,2025-02-16 03:45:29.90431,11
62,18,3,2025-02-16 03:45:29.904876,11
63,186,4,2025-02-16 03:45:29.905425,11
64,57,3,2025-02-16 03:45:29.907216,15
65,88,2,2025-02-16 03:45:29.908336,9
66,171,1,2025-02-16 03:45:29.909169,9
67,134,3,2025-02-16 03:45:29.909911,13
68,88,3,2025-02-16 03:45:29.910629,11
69,151,1,2025-02-16 03:45:29.911325,1
70,151,3,2025-02-16 03:45:29.911941,3
71,14,2,2025-02-16 03:45:29.912572,8
72,104,1,2025-02-16 03:45:29.913302,5
73,180,3,2025-02-16 03:45:29.914562,9
74,110,2,2025-02-16 03:45:29.917295,9
75,64,4,2025-02-16 03:45:29.91837,5
76,75,5,2025-02-16 03:45:29.919187,6
77,116,5,2025-02-16 03:45:29.920906,9
78,23,4,2025-02-16 03:45:29.921649,5
79,159,1,2025-02-16 03:45:29.922286,1
80,101,4,2025-02-16 03:45:29.923152,1
81,31,2,2025-02-16 03:45:29.924356,12
82,56,2,2025-02-16 03:45:29.925133,6
83,101,1,2025-02-16 03:45:29.925978,11
84,55,2,2025-02-16 03:45:29.927063,14
85,138,2,2025-02-16 03:45:29.927724,9
86,46,5,2025-02-16 03:45:29.928489,3
87,158,3,2025-02-16 03:45:29.929189,15
88,10,1,2025-02-16 03:45:29.929884,15
89,85,2,2025-02-16 03:45:29.93059,3
90,148,5,2025-02-16 03:45:29.931708,6
91,75,1,2025-02-16 03:45:29.933234,14
92,145,5,2025-02-16 03:45:29.93458,3
